945	6016	2
945	17232	2
945	23183	1
945	36593	1
945	38326	4
945	39574	4
945	39930	3
945	47486	1
945	50967	21
945	58990	3
945	62085	18
945	62785	14
4650	6016	1
4650	58617	19
4924	18676	12
4924	30564	2
4924	36593	2
5398	39470	13
5398	50641	1
6016	17232	7
6016	23183	9
6016	36593	5
6016	38326	12
6016	39574	11
6016	39930	9
6016	47486	2
6016	48842	2
6016	50967	2
6016	57104	4
6016	58617	1
6016	58990	8
6016	60182	3
6016	62085	3
17232	23183	6
17232	31021	20
17232	36593	5
17232	38326	10
17232	39574	9
17232	39930	9
17232	47486	20
17232	58990	7
17232	62085	2
18676	30564	4
18676	35334	3
18676	36593	2
20943	36593	1
23183	36593	7
23183	38326	11
23183	39574	14
23183	39930	12
23183	47486	1
23183	50967	1
23183	58990	11
23183	62085	2
25296	45657	14
30363	34242	3
30564	50641	8
30564	60182	1
31021	38326	2
31021	39574	1
31021	39930	1
31021	47486	15
34242	35334	1
36593	38326	7
36593	39574	8
36593	39930	6
36593	58990	7
38326	39574	22
38326	39930	14
38326	47486	4
38326	50967	2
38326	58990	15
38326	62085	3
39470	50641	2
39574	39930	21
39574	47486	3
39574	50967	1
39574	58990	19
39574	62085	2
39930	47486	3
39930	50967	1
39930	58990	17
39930	62085	2
47486	58990	1
47486	62085	2
50967	58990	1
50967	62085	12
50967	62785	8
57104	60182	18
58990	62085	1
62085	62785	19
