document id	author id	frequency
11200	4924	1
11202	945	1
11202	50967	1
11202	62085	1
11202	62785	1
11203	18676	1
11204	62085	1
11214	4924	1
11214	18676	1
11254	4924	1
11254	18676	1
11260	945	1
11260	62085	1
11260	62785	1
11267	6016	1
11268	6016	1
11300	18676	1
11312	39930	1
11341	4924	1
11345	20943	1
11360	945	1
11360	62085	1
11360	62785	1
11376	4924	1
11457	945	1
11457	62085	1
11457	62785	1
11470	25296	1
11480	62085	1
11510	30564	1
11510	60182	1
11554	5398	1
11565	62085	1
11565	62785	1
11599	4924	1
11599	30564	1
11605	62085	1
11605	62785	1
11618	48842	1
11636	36593	1
11661	20943	1
11665	20943	1
11737	45657	1
11756	36593	1
11762	62085	1
11764	34242	1
11764	35334	1
11779	39930	1
11783	23183	1
11783	38326	1
11783	39574	1
11783	39930	1
11783	58990	1
11820	5398	1
11823	39574	1
11823	39930	1
11823	58990	1
11829	5398	1
11849	62085	1
11871	23183	1
11872	45657	1
11875	39574	1
11931	62085	1
11945	47686	1
11948	45657	1
11979	4650	1
11979	58617	1
11980	4650	1
11981	4650	1
12059	38326	1
12059	39574	1
12059	39930	1
12059	58990	1
12078	6016	1
12088	47686	1
12146	4650	1
12153	4924	1
12175	6016	1
12178	45657	1
12186	4924	1
12186	18676	1
12186	30564	1
12212	6016	1
12212	23183	1
12212	38326	1
12212	39574	1
12233	39930	1
12233	58990	1
12282	4924	1
12290	5398	1
12310	57104	1
12358	62085	1
12359	30363	1
12423	4650	1
12431	34242	1
12444	34242	1
12529	39470	1
12553	36593	1
12578	48842	1
12585	39574	1
12586	30564	1
12592	50641	1
12664	30564	1
12721	4650	1
12721	58617	1
12769	45657	1
12771	6016	1
12771	23183	1
12771	38326	1
12771	39574	1
12771	39930	1
12771	58990	1
12773	36593	1
12773	38326	1
12773	39574	1
12785	62085	1
12802	23183	1
12802	39574	1
12824	34242	1
12872	45657	1
12900	38326	1
12900	58990	1
12950	62085	1
12984	25296	1
12984	45657	1
12990	38326	1
12990	39574	1
12993	39470	1
13064	25296	1
13064	45657	1
13088	30564	1
13103	62085	1
13141	50641	1
13156	34242	1
13162	18676	1
13168	62085	1
13188	5398	1
13219	57104	1
13219	60182	1
13225	20943	1
13265	6016	1
13265	17232	1
13265	23183	1
13265	36593	1
13265	38326	1
13265	39574	1
13265	39930	1
13265	58990	1
13296	25296	1
13307	30564	1
13313	23183	1
13319	5398	1
13319	39470	1
13343	23183	1
13343	39930	1
13346	45657	1
13377	23183	1
13377	39574	1
13377	39930	1
13417	62085	1
13467	58617	1
13473	4924	1
13473	18676	1
13477	25296	1
13477	45657	1
13488	4924	1
13500	6016	1
13500	17232	1
13500	23183	1
13500	36593	1
13500	38326	1
13500	39574	1
13500	39930	1
13500	58990	1
13526	6016	1
13526	57104	1
13566	35334	1
